IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
39.117.158.134,13609,TRUE,JP:KIX52,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,83,8.83
39.112.49.232,10666,TRUE,JP:KIX53,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,90,8.82
1.243.39.139,12223,TRUE,JP:KIX54,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,80,8.82
218.48.148.10,13675,TRUE,JP:KIX55,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,85,8.81
211.207.129.20,30447,TRUE,JP:KIX56,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,76,8.8
1.244.202.141,21050,TRUE,JP:KIX57,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,80,8.79
1.243.39.139,24617,TRUE,JP:KIX58,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,93,8.79
211.179.70.112,19443,TRUE,JP:KIX59,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,70,8.79
39.112.49.232,27299,TRUE,JP:KIX60,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,83,8.78
58.124.11.106,25985,TRUE,JP:KIX61,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,73,8.78
39.117.158.134,13395,TRUE,JP:KIX62,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,8.78
218.48.148.10,28328,TRUE,JP:KIX63,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,86,8.78
1.231.146.114,27653,TRUE,JP:KIX64,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,77,8.77
1.236.248.109,11867,TRUE,JP:KIX65,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,71,8.76
1.243.39.139,21980,TRUE,JP:KIX66,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,107,8.76
211.243.170.98,22390,TRUE,JP:KIX67,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,79,8.76
218.49.51.119,25854,TRUE,JP:KIX68,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,69,8.75
222.235.89.37,31920,TRUE,JP:KIX69,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,75,8.75
39.115.0.100,19455,TRUE,JP:KIX70,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,88,8.74
1.235.252.81,27040,TRUE,JP:KIX71,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,85,8.74
211.203.37.223,15616,TRUE,JP:KIX72,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,70,8.74
218.232.46.4,30688,TRUE,JP:KIX73,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,70,8.72
1.244.202.141,22211,TRUE,JP:KIX74,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,88,8.71
116.122.120.26,33706,TRUE,JP:KIX75,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,8.71
218.49.51.119,36852,TRUE,JP:KIX76,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,72,8.7
116.122.120.26,27038,TRUE,JP:KIX77,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,70,8.7
1.253.134.202,12217,TRUE,JP:KIX78,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,89,8.7
118.223.221.138,39506,TRUE,JP:KIX79,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,84,8.7
39.117.158.134,11129,TRUE,JP:KIX80,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,67,8.69
1.232.40.93,23573,TRUE,JP:KIX81,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,67,8.69
1.243.39.139,10000,TRUE,JP:KIX82,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,96,8.69
114.203.96.76,19162,TRUE,JP:KIX83,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,82,8.68
1.243.39.139,10367,TRUE,JP:KIX84,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,84,8.68
175.121.138.160,13209,TRUE,JP:KIX85,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,8.67
124.111.242.213,10369,TRUE,JP:KIX86,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,70,8.66
175.115.116.134,31905,TRUE,JP:KIX87,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,79,8.66
1.243.39.139,25027,TRUE,JP:KIX88,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,92,8.66
211.179.70.112,12341,TRUE,JP:KIX89,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,67,8.64
110.11.180.149,24240,TRUE,JP:KIX90,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,66,8.64
1.232.82.189,34539,TRUE,JP:KIX91,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,77,8.64
39.115.0.100,10304,TRUE,JP:KIX92,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,80,8.63
124.111.208.233,37326,TRUE,JP:KIX93,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,73,8.63
1.236.97.252,12348,TRUE,JP:KIX94,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,77,8.63
58.124.11.106,11535,TRUE,JP:KIX95,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,80,8.62
1.244.202.141,10951,TRUE,JP:KIX96,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,73,8.61
211.179.70.112,15474,TRUE,JP:KIX97,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,108,8.6
110.13.24.137,31865,TRUE,JP:KIX98,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,80,8.6
218.49.51.119,16212,TRUE,JP:KIX99,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,68,8.6
1.244.202.141,10226,TRUE,JP:KIX100,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,75,8.6
221.143.121.193,22532,TRUE,JP:KIX101,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,84,8.59
211.176.201.223,12503,TRUE,JP:KIX102,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,72,8.59
1.244.202.141,18056,TRUE,JP:KIX103,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,92,8.58
222.235.14.103,26551,TRUE,JP:KIX104,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,8.58
114.201.84.248,18560,TRUE,JP:KIX105,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,77,8.58
124.111.204.31,39224,TRUE,JP:KIX106,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,77,8.57
118.221.45.53,28874,TRUE,JP:KIX107,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,71,8.56
124.111.204.31,31701,TRUE,JP:KIX108,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,86,8.56
110.15.252.211,18741,TRUE,JP:KIX109,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,64,8.56
222.232.58.94,20737,TRUE,JP:KIX110,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,77,8.55
218.49.51.119,21306,TRUE,JP:KIX111,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,67,8.55
175.114.193.209,31915,TRUE,JP:KIX112,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,8.55
39.119.121.132,10158,TRUE,JP:KIX113,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,85,8.54
118.220.141.210,16908,TRUE,JP:KIX114,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,8.54
221.143.121.193,29066,TRUE,JP:KIX115,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,176,8.54
1.243.39.139,22386,TRUE,JP:KIX116,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,103,8.53
39.115.0.100,25161,TRUE,JP:KIX117,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,76,8.52
222.237.202.177,37081,TRUE,JP:KIX118,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,96,8.52
116.122.120.26,12347,TRUE,JP:KIX119,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,71,8.52
175.113.68.197,18578,TRUE,JP:KIX120,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,65,8.51
219.240.54.189,10139,TRUE,JP:KIX121,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,67,8.51
1.236.13.140,12409,TRUE,JP:KIX122,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,74,8.51
39.117.51.21,31871,TRUE,JP:KIX123,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,79,8.51
221.143.121.193,27879,TRUE,JP:KIX124,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,90,8.51
58.124.11.106,31983,TRUE,JP:KIX125,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,84,8.5
1.253.134.202,35361,TRUE,JP:KIX126,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,86,8.49
211.179.70.112,38415,TRUE,JP:KIX127,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,103,8.49
124.111.204.31,14743,TRUE,JP:KIX128,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,66,8.49
222.237.202.177,28000,TRUE,JP:KIX129,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,103,8.49
1.243.39.139,27659,TRUE,JP:KIX130,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,120,8.48
1.243.39.139,37951,TRUE,JP:KIX131,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,87,8.48
219.248.32.74,22398,TRUE,JP:KIX132,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,79,8.48
1.243.39.139,27571,TRUE,JP:KIX133,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,79,8.48
1.236.248.109,14513,TRUE,JP:KIX134,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,75,8.48
39.121.247.78,38312,TRUE,JP:KIX135,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,88,8.47
124.111.204.31,32817,TRUE,JP:KIX136,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,67,8.47
211.59.51.163,39159,TRUE,JP:KIX137,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,74,8.47
221.143.121.193,32064,TRUE,JP:KIX138,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,112,8.47
1.244.202.141,33804,TRUE,JP:KIX139,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,83,8.46
121.125.215.217,14768,TRUE,JP:KIX140,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,75,8.46
211.179.163.56,35995,TRUE,JP:KIX141,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,8.46
61.98.190.141,28177,TRUE,JP:KIX142,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,67,8.46
1.229.130.66,10197,TRUE,JP:KIX143,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,71,8.44
1.231.146.114,37598,TRUE,JP:KIX144,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,72,8.44
1.243.39.139,21948,TRUE,JP:KIX145,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,83,8.44
1.236.13.140,10161,TRUE,JP:KIX146,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,76,8.44
1.231.48.182,34974,TRUE,JP:KIX147,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,74,8.44
1.235.252.81,25901,TRUE,JP:KIX148,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,76,8.43
1.231.146.114,34453,TRUE,JP:KIX149,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,69,8.43
1.244.202.141,12360,TRUE,JP:KIX150,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,77,8.43
180.71.214.223,12103,TRUE,JP:KIX151,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,81,8.43
211.179.70.112,10671,TRUE,JP:KIX152,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,85,8.43
1.243.39.139,16486,TRUE,JP:KIX153,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,124,8.42
1.243.39.139,37140,TRUE,JP:KIX154,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,78,8.42
211.207.174.216,36128,TRUE,JP:KIX155,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,74,8.42
1.241.218.157,22904,TRUE,JP:KIX156,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,66,8.42
211.117.167.131,27994,TRUE,JP:KIX157,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,85,8.42
39.120.224.135,32792,TRUE,JP:KIX158,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,67,8.42
1.243.39.139,12231,TRUE,JP:KIX159,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,117,8.42
39.120.132.235,39384,TRUE,JP:KIX160,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,74,8.41
116.122.120.234,25369,TRUE,JP:KIX161,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,65,8.4
58.232.49.2,18232,TRUE,JP:KIX162,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,79,8.4
39.120.132.235,39922,TRUE,JP:KIX163,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,70,8.4
1.237.229.226,34285,TRUE,JP:KIX164,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,73,8.39
221.143.121.193,35690,TRUE,JP:KIX165,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,84,8.39
39.115.0.100,24536,TRUE,JP:KIX166,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,82,8.38
222.237.202.177,12808,TRUE,JP:KIX167,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,79,8.37
211.33.71.215,27880,TRUE,JP:KIX168,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,81,8.36
1.224.192.147,35794,TRUE,JP:KIX169,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,88,8.36
1.235.252.81,19378,TRUE,JP:KIX170,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,90,8.35
39.119.121.132,23202,TRUE,JP:KIX171,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,106,8.35
39.120.132.235,35735,TRUE,JP:KIX172,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,72,8.35
1.243.39.139,20020,TRUE,JP:KIX173,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,111,8.35
1.236.97.252,31450,TRUE,JP:KIX174,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,71,8.34
