IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
149.104.35.72,9888,TRUE,FR:MRS,Europe,Marseille,70 ms,4486 kB/s
149.104.35.83,9888,TRUE,FR:MRS,Europe,Marseille,73 ms,4475 kB/s
149.104.35.98,9888,TRUE,FR:MRS,Europe,Marseille,95 ms,4458 kB/s
149.104.35.73,9888,TRUE,FR:MRS,Europe,Marseille,71 ms,4456 kB/s
149.104.35.124,9888,TRUE,FR:MRS,Europe,Marseille,66 ms,4451 kB/s
149.104.35.92,9888,TRUE,FR:MRS,Europe,Marseille,91 ms,4424 kB/s
149.104.35.84,9888,TRUE,FR:MRS,Europe,Marseille,68 ms,4424 kB/s
154.197.92.80,9888,TRUE,FR:MRS,Europe,Marseille,72 ms,4404 kB/s
149.104.35.86,9888,TRUE,FR:MRS,Europe,Marseille,98 ms,4386 kB/s
149.104.34.211,9888,TRUE,FR:MRS,Europe,Marseille,88 ms,4375 kB/s
149.104.35.88,9888,TRUE,FR:MRS,Europe,Marseille,71 ms,4318 kB/s
154.197.92.93,9888,TRUE,FR:MRS,Europe,Marseille,74 ms,4306 kB/s
149.104.35.74,9888,TRUE,FR:MRS,Europe,Marseille,65 ms,4300 kB/s
149.104.35.71,9888,TRUE,FR:MRS,Europe,Marseille,79 ms,4207 kB/s
149.104.32.74,9888,TRUE,FR:MRS,Europe,Marseille,223 ms,4098 kB/s
149.104.35.90,9888,TRUE,FR:MRS,Europe,Marseille,79 ms,4091 kB/s
154.194.64.138,9888,TRUE,FR:MRS,Europe,Marseille,71 ms,4091 kB/s
149.104.35.125,9888,TRUE,FR:MRS,Europe,Marseille,86 ms,4067 kB/s
154.197.92.77,9888,TRUE,FR:MRS,Europe,Marseille,79 ms,4047 kB/s
149.104.34.213,9888,TRUE,FR:MRS,Europe,Marseille,79 ms,4022 kB/s
149.104.35.66,9888,TRUE,FR:MRS,Europe,Marseille,70 ms,4021 kB/s
149.104.35.106,9888,TRUE,FR:MRS,Europe,Marseille,85 ms,4005 kB/s
154.197.92.81,9888,TRUE,FR:MRS,Europe,Marseille,70 ms,3967 kB/s
149.104.35.99,9888,TRUE,FR:MRS,Europe,Marseille,97 ms,3948 kB/s
154.194.64.132,9888,TRUE,FR:MRS,Europe,Marseille,71 ms,3935 kB/s
149.104.34.210,9888,TRUE,FR:MRS,Europe,Marseille,81 ms,3927 kB/s
149.104.35.51,9888,TRUE,FR:MRS,Europe,Marseille,86 ms,3923 kB/s
149.104.35.53,9888,TRUE,FR:MRS,Europe,Marseille,77 ms,3916 kB/s
149.104.35.114,9888,TRUE,FR:MRS,Europe,Marseille,93 ms,3893 kB/s
154.197.92.86,9888,TRUE,FR:MRS,Europe,Marseille,66 ms,3881 kB/s
149.104.35.52,9888,TRUE,FR:MRS,Europe,Marseille,89 ms,3858 kB/s
154.197.92.84,9888,TRUE,FR:MRS,Europe,Marseille,73 ms,3848 kB/s
154.197.92.70,9888,TRUE,FR:MRS,Europe,Marseille,67 ms,3801 kB/s
149.104.35.123,9888,TRUE,FR:MRS,Europe,Marseille,73 ms,3790 kB/s
149.104.35.80,9888,TRUE,FR:MRS,Europe,Marseille,90 ms,3785 kB/s
154.197.92.66,9888,TRUE,FR:MRS,Europe,Marseille,66 ms,3772 kB/s
149.104.35.4,9888,TRUE,FR:MRS,Europe,Marseille,82 ms,3719 kB/s
149.104.35.89,9888,TRUE,FR:MRS,Europe,Marseille,68 ms,3712 kB/s
149.104.35.5,9888,TRUE,FR:MRS,Europe,Marseille,70 ms,3683 kB/s
149.104.35.3,9888,TRUE,FR:MRS,Europe,Marseille,88 ms,3634 kB/s
149.104.35.59,9888,TRUE,FR:MRS,Europe,Marseille,76 ms,3607 kB/s
149.104.35.55,9888,TRUE,FR:MRS,Europe,Marseille,65 ms,3578 kB/s
154.197.92.113,9888,TRUE,FR:MRS,Europe,Marseille,83 ms,3547 kB/s
154.197.92.75,9888,TRUE,FR:MRS,Europe,Marseille,71 ms,3545 kB/s
149.104.35.110,9888,TRUE,FR:MRS,Europe,Marseille,86 ms,3455 kB/s
149.104.35.82,9888,TRUE,FR:MRS,Europe,Marseille,91 ms,3415 kB/s
154.197.92.88,9888,TRUE,FR:MRS,Europe,Marseille,87 ms,3395 kB/s
149.104.34.214,9888,TRUE,FR:MRS,Europe,Marseille,65 ms,3392 kB/s
149.104.34.26,9888,TRUE,FR:MRS,Europe,Marseille,96 ms,3384 kB/s
149.104.35.111,9888,TRUE,FR:MRS,Europe,Marseille,75 ms,3368 kB/s
154.197.92.121,9888,TRUE,FR:MRS,Europe,Marseille,87 ms,3356 kB/s
154.197.92.73,9888,TRUE,FR:MRS,Europe,Marseille,77 ms,3355 kB/s
154.197.92.72,9888,TRUE,FR:MRS,Europe,Marseille,77 ms,3307 kB/s
154.197.92.67,9888,TRUE,FR:MRS,Europe,Marseille,80 ms,3221 kB/s
149.104.33.141,9888,TRUE,FR:MRS,Europe,Marseille,235 ms,3196 kB/s
154.197.92.123,9888,TRUE,FR:MRS,Europe,Marseille,88 ms,3194 kB/s
149.104.35.81,9888,TRUE,FR:MRS,Europe,Marseille,72 ms,3103 kB/s
154.197.92.103,9888,TRUE,FR:MRS,Europe,Marseille,74 ms,3094 kB/s
154.197.92.117,9888,TRUE,FR:MRS,Europe,Marseille,93 ms,2873 kB/s
149.104.32.78,9888,TRUE,FR:MRS,Europe,Marseille,198 ms,2836 kB/s
154.197.92.118,9888,TRUE,FR:MRS,Europe,Marseille,73 ms,2679 kB/s
154.197.92.119,9888,TRUE,FR:MRS,Europe,Marseille,70 ms,2574 kB/s
149.104.33.165,9888,TRUE,FR:MRS,Europe,Marseille,225 ms,2436 kB/s
149.104.33.137,9888,TRUE,FR:MRS,Europe,Marseille,191 ms,2421 kB/s
154.197.92.115,9888,TRUE,FR:MRS,Europe,Marseille,84 ms,2397 kB/s
154.194.64.131,9888,TRUE,FR:MRS,Europe,Marseille,90 ms,1932 kB/s
149.104.33.182,9888,TRUE,FR:MRS,Europe,Marseille,182 ms,1922 kB/s
149.104.34.27,9888,TRUE,FR:MRS,Europe,Marseille,78 ms,1858 kB/s
