IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
13.53.81.150,2083,TRUE,CPH,Europe,Copenhagen,175 ms,6334 kB/s
13.50.173.22,8443,TRUE,CPH,Europe,Copenhagen,193 ms,6133 kB/s
99.83.209.185,443,TRUE,IAD,North America,Ashburn,112 ms,4562 kB/s
13.125.218.78,443,TRUE,ICN,Asia Pacific,Seoul,211 ms,4085 kB/s
15.156.203.151,8443,TRUE,DFW,North America,Dallas,253 ms,3399 kB/s
13.53.132.96,8080,TRUE,CPH,Europe,Copenhagen,200 ms,3317 kB/s
150.230.34.116,443,TRUE,SJC,North America,San Jose,170 ms,8939 kB/s
89.168.83.143,8443,TRUE,FRA,Europe,Frankfurt,255 ms,5688 kB/s
40.233.70.7,8443,TRUE,YYZ,North America,Toronto,236 ms,4981 kB/s
134.65.59.100,443,TRUE,LHR,Europe,London,250 ms,3209 kB/s
149.104.35.2,9888,TRUE,MRS,Europe,Marseille,125 ms,5831 kB/s
154.197.92.73,9888,TRUE,MRS,Europe,Marseille,137 ms,5503 kB/s
154.197.92.92,9888,TRUE,MRS,Europe,Marseille,80 ms,5473 kB/s
154.197.92.91,9888,TRUE,MRS,Europe,Marseille,69 ms,5448 kB/s
154.197.92.70,9888,TRUE,MRS,Europe,Marseille,112 ms,4888 kB/s
154.197.92.85,9888,TRUE,MRS,Europe,Marseille,74 ms,4742 kB/s
149.104.35.108,9888,TRUE,MRS,Europe,Marseille,137 ms,4690 kB/s
103.94.185.165,23429,TRUE,LAX,North America,Los Angeles,196 ms,4672 kB/s
154.197.92.109,9888,TRUE,MRS,Europe,Marseille,106 ms,4591 kB/s
154.197.92.84,9888,TRUE,MRS,Europe,Marseille,74 ms,4582 kB/s
149.104.35.66,9888,TRUE,MRS,Europe,Marseille,90 ms,4521 kB/s
154.197.92.77,9888,TRUE,MRS,Europe,Marseille,70 ms,4489 kB/s
149.104.35.3,9888,TRUE,MRS,Europe,Marseille,136 ms,4421 kB/s
154.197.92.82,9888,TRUE,MRS,Europe,Marseille,69 ms,4297 kB/s
154.197.92.93,9888,TRUE,MRS,Europe,Marseille,79 ms,4280 kB/s
149.104.35.110,9888,TRUE,MRS,Europe,Marseille,146 ms,4249 kB/s
149.104.33.182,9888,TRUE,MRS,Europe,Marseille,186 ms,4097 kB/s
149.104.35.83,9888,TRUE,MRS,Europe,Marseille,117 ms,4018 kB/s
154.197.92.119,9888,TRUE,MRS,Europe,Marseille,90 ms,3997 kB/s
154.197.92.72,9888,TRUE,MRS,Europe,Marseille,77 ms,3949 kB/s
154.197.92.103,9888,TRUE,MRS,Europe,Marseille,92 ms,3923 kB/s
149.104.35.59,9888,TRUE,MRS,Europe,Marseille,128 ms,3895 kB/s
149.104.35.125,9888,TRUE,MRS,Europe,Marseille,124 ms,3882 kB/s
149.104.33.183,9888,TRUE,MRS,Europe,Marseille,232 ms,3658 kB/s
149.104.35.124,9888,TRUE,MRS,Europe,Marseille,120 ms,3652 kB/s
103.99.179.39,443,TRUE,LAX,North America,Los Angeles,189 ms,3622 kB/s
154.197.92.88,9888,TRUE,MRS,Europe,Marseille,72 ms,3444 kB/s
149.104.34.210,9888,TRUE,MRS,Europe,Marseille,95 ms,3398 kB/s
149.104.33.157,9888,TRUE,MRS,Europe,Marseille,178 ms,3383 kB/s
149.104.35.82,9888,TRUE,MRS,Europe,Marseille,79 ms,3381 kB/s
154.197.92.80,9888,TRUE,MRS,Europe,Marseille,78 ms,3318 kB/s
154.194.64.130,9888,TRUE,MRS,Europe,Marseille,81 ms,3299 kB/s
149.104.35.55,9888,TRUE,MRS,Europe,Marseille,121 ms,3240 kB/s
149.104.35.94,9888,TRUE,MRS,Europe,Marseille,127 ms,3210 kB/s
149.104.35.52,9888,TRUE,MRS,Europe,Marseille,85 ms,3187 kB/s
149.104.35.103,9888,TRUE,MRS,Europe,Marseille,110 ms,3132 kB/s
154.197.92.75,9888,TRUE,MRS,Europe,Marseille,76 ms,3054 kB/s
103.235.18.61,34237,TRUE,HKG,Asia Pacific,Hong Kong,73 ms,3041 kB/s
154.197.92.86,9888,TRUE,MRS,Europe,Marseille,73 ms,3039 kB/s
166.0.188.128,41443,TRUE,LAX,North America,Los Angeles,178 ms,7642 kB/s
