IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
31.192.238.71,2053,TRUE,SG:SIN52,SG,Asia Pacific,Singapore,44493,Chelyabinsk-Signal LLC,338,0.06
8.213.224.55,587,TRUE,SG:SIN53,SG,Asia Pacific,Singapore,45102,Alibaba US Technology Co Ltd,377,0.05
31.192.238.71,8443,TRUE,SG:SIN54,SG,Asia Pacific,Singapore,44493,Chelyabinsk-Signal LLC,331,0.05
119.76.178.130,17775,TRUE,SG:SIN55,SG,Asia Pacific,Singapore,7470,TRUE INTERNET CoLtd,415,0.04
154.211.8.90,2053,TRUE,SG:SIN56,US,North America,San Jose,209242,Cloudflare London LLC,791,0.04
194.36.178.36,8443,TRUE,SG:SIN57,SG,Asia Pacific,Singapore,200740,First Server Limited,321,0.03
103.180.193.56,443,TRUE,SG:SIN58,SG,Asia Pacific,Singapore,34927,iFog GmbH,382,0.03
64.49.14.41,8443,TRUE,SG:SIN59,SG,Asia Pacific,Singapore,34927,iFog GmbH,351,0.03
103.116.7.100,2096,TRUE,SG:SIN60,US,North America,San Jose,209242,Cloudflare London LLC,790,0.02
141.11.46.155,47242,TRUE,SG:SIN61,SG,Asia Pacific,San Jose,209242,Cloudflare London LLC,323,0.02
3.1.94.232,443,TRUE,SG:SIN62,SG,Asia Pacific,Singapore,142275,INCUBATEC Srl,212,0.02
103.167.82.200,443,TRUE,SG:SIN63,SG,Asia Pacific,Singapore,142275,INCUBATEC Srl,381,0.01
52.77.19.190,443,TRUE,SG:SIN64,SG,Asia Pacific,San Jose,209242,Cloudflare London LLC,212,0.01
