IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
162.159.42.247,443,TRUE,US:IAD1012,US,North America,Ashburn,13335,CLOUDFLARENET,246,1.07
162.159.43.250,443,TRUE,US:IAD1013,US,North America,Ashburn,13335,CLOUDFLARENET,217,1.05
162.159.35.62,443,TRUE,US:IAD1014,US,North America,Ashburn,13335,CLOUDFLARENET,233,0.96
107.175.245.68,50242,TRUE,US:IAD1015,US,North America,Ashburn,36352,AS-COLOCROSSING,241,0.88
162.159.35.224,443,TRUE,US:IAD1016,US,North America,Ashburn,13335,CLOUDFLARENET,207,0.81
162.159.42.159,443,TRUE,US:IAD1017,US,North America,Ashburn,13335,CLOUDFLARENET,239,0.8
162.159.35.100,443,TRUE,US:IAD1018,US,North America,Ashburn,13335,CLOUDFLARENET,223,0.61
162.159.42.87,443,TRUE,US:IAD1019,US,North America,Ashburn,13335,CLOUDFLARENET,223,0.59
162.159.42.201,443,TRUE,US:IAD1020,US,North America,Ashburn,13335,CLOUDFLARENET,242,0.51
162.159.42.150,443,TRUE,US:IAD1021,US,North America,Ashburn,13335,CLOUDFLARENET,244,0.41
162.159.35.43,443,TRUE,US:IAD1022,US,North America,Ashburn,13335,CLOUDFLARENET,243,0.4
198.41.212.8,443,TRUE,US:IAD1023,US,North America,Ashburn,13335,CLOUDFLARENET,220,0.38
162.159.35.217,443,TRUE,US:IAD1024,US,North America,Ashburn,13335,CLOUDFLARENET,220,0.37
162.159.34.251,443,TRUE,US:IAD1025,US,North America,Ashburn,13335,CLOUDFLARENET,225,0.36
162.159.42.50,443,TRUE,US:IAD1026,US,North America,Ashburn,13335,CLOUDFLARENET,216,0.35
162.159.42.223,443,TRUE,US:IAD1027,US,North America,Ashburn,13335,CLOUDFLARENET,232,0.35
162.159.43.235,443,TRUE,US:IAD1028,US,North America,Ashburn,13335,CLOUDFLARENET,244,0.33
162.159.42.9,443,TRUE,US:IAD1029,US,North America,Ashburn,13335,CLOUDFLARENET,233,0.33
198.41.212.112,443,TRUE,US:IAD1030,US,North America,Ashburn,13335,CLOUDFLARENET,217,0.32
198.41.212.199,443,TRUE,US:IAD1031,US,North America,Ashburn,13335,CLOUDFLARENET,242,0.25
162.159.43.6,443,TRUE,US:IAD1032,US,North America,Ashburn,13335,CLOUDFLARENET,239,0.22
162.159.43.97,443,TRUE,US:IAD1033,US,North America,Ashburn,13335,CLOUDFLARENET,243,0.2
162.159.35.7,443,TRUE,US:IAD1034,US,North America,Ashburn,13335,CLOUDFLARENET,247,0.2
162.159.35.191,443,TRUE,US:IAD1035,US,North America,Ashburn,13335,CLOUDFLARENET,219,0.19
162.159.35.47,443,TRUE,US:IAD1036,US,North America,Ashburn,13335,CLOUDFLARENET,236,0.19
162.159.42.208,443,TRUE,US:IAD1037,US,North America,Ashburn,13335,CLOUDFLARENET,308,0.18
162.159.35.129,443,TRUE,US:IAD1038,US,North America,Ashburn,13335,CLOUDFLARENET,212,0.14
162.159.42.57,443,TRUE,US:IAD1039,US,North America,Ashburn,13335,CLOUDFLARENET,242,0.13
