IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
38.76.145.172,443,TRUE,US:LAX392,US,North America,Los Angeles,174,COGENT-174,165,1.95
154.9.224.118,443,TRUE,US:LAX393,US,North America,Los Angeles,979,NETLAB-SDN,146,1.95
125.139.90.247,14523,TRUE,US:LAX394,US,North America,Los Angeles,4766,Korea Telecom,290,1.95
38.76.145.181,443,TRUE,US:LAX395,US,North America,Los Angeles,174,COGENT-174,181,1.94
221.165.87.166,10225,TRUE,US:LAX396,US,North America,Los Angeles,4766,Korea Telecom,295,1.94
144.24.47.59,28443,TRUE,US:LAX397,US,North America,Los Angeles,31898,ORACLE-BMC-31898,147,1.93
119.207.169.206,30023,TRUE,US:LAX398,US,North America,Los Angeles,4766,Korea Telecom,289,1.93
222.111.85.138,12601,TRUE,US:LAX399,US,North America,Los Angeles,4766,Korea Telecom,293,1.93
168.126.210.143,12432,TRUE,US:LAX400,US,North America,Los Angeles,4766,Korea Telecom,312,1.92
185.183.84.205,38825,TRUE,US:LAX401,US,North America,Los Angeles,40065,CNSERVERS,139,1.91
209.146.101.42,587,TRUE,US:LAX402,US,North America,Los Angeles,174,COGENT-174,154,1.91
121.150.209.155,10100,TRUE,US:LAX403,US,North America,Los Angeles,4766,Korea Telecom,280,1.91
103.99.115.137,6379,TRUE,US:LAX404,US,North America,Los Angeles,40065,CNSERVERS,144,1.9
103.99.115.137,3306,TRUE,US:LAX405,US,North America,Los Angeles,40065,CNSERVERS,154,1.9
220.92.171.36,30015,TRUE,US:LAX406,US,North America,Los Angeles,4766,Korea Telecom,278,1.9
14.47.225.182,20182,TRUE,US:LAX407,US,North America,Los Angeles,4766,Korea Telecom,291,1.9
45.146.234.252,16071,TRUE,US:LAX408,US,North America,Los Angeles,8100,ASN-QUADRANET-GLOBAL,138,1.89
220.123.29.114,10087,TRUE,US:LAX409,US,North America,Los Angeles,4766,Korea Telecom,282,1.89
211.220.16.114,30013,TRUE,US:LAX410,US,North America,Los Angeles,4766,Korea Telecom,273,1.88
221.155.170.23,18002,TRUE,US:LAX411,US,North America,Los Angeles,4766,Korea Telecom,297,1.88
