IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
218.52.167.112,12519,TRUE,JP:NRT48,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,97,6.57
119.75.99.140,14265,TRUE,JP:NRT54,JP,Asia Pacific,Tokyo,17854,SK Broadband Co Ltd,84,6.35
122.36.31.22,18039,TRUE,JP:NRT55,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,65,6.35
122.43.253.249,11285,TRUE,JP:NRT57,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,78,6.31
1.235.252.81,12288,TRUE,JP:NRT62,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,90,5.98
122.34.148.156,12136,TRUE,JP:NRT63,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,84,5.9
58.232.150.54,12367,TRUE,JP:NRT64,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,82,5.88
58.124.11.106,12337,TRUE,JP:NRT65,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,78,5.88
124.194.102.61,32771,TRUE,JP:NRT66,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,72,5.87
1.235.252.81,12399,TRUE,JP:NRT67,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,102,5.8
116.122.120.26,12347,TRUE,JP:NRT72,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,88,5.62
39.120.214.134,12385,TRUE,JP:NRT74,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,75,5.37
211.108.166.193,12163,TRUE,JP:NRT82,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,84,5.13
103.20.199.101,33003,TRUE,JP:NRT87,JP,Asia Pacific,Tokyo,147293,Nearoute Limited,46,4.87
61.99.248.129,12412,TRUE,JP:NRT88,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,93,4.78
1.232.82.189,23424,TRUE,JP:NRT89,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,94,4.75
39.121.220.182,20053,TRUE,JP:NRT90,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,96,4.65
39.117.158.134,12112,TRUE,JP:NRT97,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,79,4.25
39.117.158.134,12201,TRUE,JP:NRT98,JP,Asia Pacific,Tokyo,9318,SK Broadband Co Ltd,80,4.1
115.22.214.78,12287,TRUE,JP:NRT104,JP,Asia Pacific,Tokyo,4766,Korea Telecom,177,3.65
211.213.4.68,10010,TRUE,JP:NRT105,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,98,3.56
211.179.70.112,19443,TRUE,JP:NRT106,JP,Asia Pacific,Osaka,9318,SK Broadband Co Ltd,65,3.48
125.180.223.126,10003,TRUE,JP:NRT107,JP,Asia Pacific,Tokyo,17858,LG POWERCOMM,104,3.36
168.126.182.190,16104,TRUE,JP:NRT111,JP,Asia Pacific,Tokyo,4766,Korea Telecom,201,3.07
112.219.148.204,30055,TRUE,JP:NRT114,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,80,2.87
